weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.3,2017-03-28,11:58:35,1,0,0.019852779143093358,pilot,0202,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:58:35,1,0,0.2644124100229419,pilot,0202,0.3.4,start,,,,
0.4.3,2017-03-28,11:58:35,1,0,0.5262406532688146,pilot,0202,0.3.4,high_latency,,,,0.011828243245872727
0.4.3,2017-03-28,11:58:35,2,0,1.5288706725814336,pilot,0202,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:58:35,2,0,1.5306705556918132,pilot,0202,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:58:35,2,0,23.456407241689703,pilot,0202,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:58:35,3,0,56.40680369503025,pilot,0202,0.3.4,practice_start,,,,
0.4.3,2017-03-28,11:58:35,3,0,56.408162161940254,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,58.4256624322652,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,60.44518466253203,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,62.46268493285697,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,64.48018520318146,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,66.49768547350641,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,3,0,68.5151857438309,pilot,0202,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:58:35,4,0,71.2052886451329,pilot,0202,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:58:35,4,0,71.2069749234538,pilot,0202,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:58:35,4,0,91.59304334912395,pilot,0202,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:58:35,4,0,95.97831654126821,pilot,0202,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:58:35,5,0,126.6436467548042,pilot,0202,0.3.4,practice_start,,,,
0.4.3,2017-03-28,11:58:35,5,0,126.64540797122436,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,130.613623609539,pilot,0202,0.3.4,stream_1,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,130.7112652151718,pilot,0202,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,130.89460178783838,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,133.16696208474377,pilot,0202,0.3.4,stream_1,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,133.30029749398818,pilot,0202,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,133.41875615074105,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,135.74978202936518,pilot,0202,0.3.4,stream_1,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,135.8862730511646,pilot,0202,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,136.0016845674054,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,138.41834210918933,pilot,0202,0.3.4,stream_1,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,138.52467858741375,pilot,0202,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,138.67286576978222,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,140.78052581224028,pilot,0202,0.3.4,stream_2,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,140.93578455057013,pilot,0202,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,141.03874607687112,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,141.03874607687112,pilot,0202,0.3.4,high_latency,,,,0.0060682751100102905
0.4.3,2017-03-28,11:58:35,5,0,143.44095699032187,pilot,0202,0.3.4,stream_2,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,143.61548200595962,pilot,0202,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,143.69696025064286,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,146.06194130054246,pilot,0202,0.3.4,stream_1,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,146.2024670032838,pilot,0202,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,146.31375897717362,pilot,0202,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,148.29644451227296,pilot,0202,0.3.4,stream_2,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,148.452362637438,pilot,0202,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-28,11:58:35,5,0,148.58125924749856,pilot,0202,0.3.4,stimulus,,,practice,
