weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.3,2017-03-29,11:41:52,1,0,0.018401238428850775,pilot,0205,0.3.4,break_start,,,,
0.4.3,2017-03-29,11:41:52,1,0,0.25666367370649823,pilot,0205,0.3.4,start,,,,
0.4.3,2017-03-29,11:41:52,2,0,1.5088420113243046,pilot,0205,0.3.4,break_start,,,,
0.4.3,2017-03-29,11:41:52,2,0,1.5101251979522203,pilot,0205,0.3.4,instructions,,,,
0.4.3,2017-03-29,11:41:52,2,0,873.338711995435,pilot,0205,0.3.4,paused,,,,
0.4.3,2017-03-29,11:41:52,2,0,1138.898833566247,pilot,0205,0.3.4,paused,,,,
0.4.3,2017-03-29,11:41:52,2,0,1140.7529010283288,pilot,0205,0.3.4,unpaused,,,,
0.4.3,2017-03-29,11:41:52,2,0,1324.398797294838,pilot,0205,0.3.4,instructions,,,,
0.4.3,2017-03-29,11:41:52,3,0,1376.2088627476205,pilot,0205,0.3.4,practice_start,,,,
0.4.3,2017-03-29,11:41:52,3,0,1376.2103159992494,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1378.2278162695748,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1380.2466205996952,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1382.2641208700206,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1384.281621140346,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1386.3028228052735,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1388.3253675388678,pilot,0205,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,11:41:52,3,0,1388.3253675388678,pilot,0205,0.3.4,high_latency,,,,0.005044733594331774
0.4.3,2017-03-29,11:41:52,3,0,1391.0222768042277,pilot,0205,0.3.4,high_latency,,,,0.006908995034564214
0.4.3,2017-03-29,11:41:52,4,0,1391.024765501923,pilot,0205,0.3.4,break_start,,,,
0.4.3,2017-03-29,11:41:52,4,0,1391.0258964170716,pilot,0205,0.3.4,instructions,,,,
0.4.3,2017-03-29,11:41:52,4,0,1404.7872791379177,pilot,0205,0.3.4,instructions,,,,
0.4.3,2017-03-29,11:41:52,4,0,1408.3733357924903,pilot,0205,0.3.4,instructions,,,,
0.4.3,2017-03-29,11:41:52,5,0,1443.391118363872,pilot,0205,0.3.4,practice_start,,,,
0.4.3,2017-03-29,11:41:52,5,0,1443.3925438986698,pilot,0205,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1447.4100441689934,pilot,0205,0.3.4,response_timeout,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1447.660044168997,pilot,0205,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1449.5749031964006,pilot,0205,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1449.7110807784811,pilot,0205,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1449.9323161826615,pilot,0205,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1452.1390235189283,pilot,0205,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1452.2968085950924,pilot,0205,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1452.3909058681675,pilot,0205,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1454.5082647484342,pilot,0205,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1454.6159076817366,pilot,0205,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1454.7657407648203,pilot,0205,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,11:41:52,5,0,1454.7657407648203,pilot,0205,0.3.4,high_latency,,,,0.005603932640951825
