psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.2,2017-01-20,13:30:32,1,0,0.018504858016967773,pilot,0004,0.2.2,instructions,,,,
0.2.2,2017-01-20,13:30:32,1,0,18.97125506401062,pilot,0004,0.2.2,instructions,,,,
0.2.2,2017-01-20,13:30:32,2,0,33.78911304473877,pilot,0004,0.2.2,practice_start,,,,
0.2.2,2017-01-20,13:30:32,2,0,33.84603977203369,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,34.52007484436035,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,35.192638874053955,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,35.86520290374756,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,36.53776478767395,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,37.210325956344604,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,37.88288998603821,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,38.555453062057495,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,39.2280158996582,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,39.900583028793335,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,40.57314682006836,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,41.2457058429718,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,41.91826891899109,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,42.590831995010376,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,43.26339387893677,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,43.93595790863037,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,44.608518838882446,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,45.28108191490173,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,45.95364689826965,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,2,0,46.62621092796326,pilot,0004,0.2.2,stimulus,w2nw,normal,example,
0.2.2,2017-01-20,13:30:32,3,0,47.298818826675415,pilot,0004,0.2.2,instructions,,,,
0.2.2,2017-01-20,13:30:32,3,0,81.49889397621155,pilot,0004,0.2.2,instructions,,,,
0.2.2,2017-01-20,13:30:32,3,0,103.54939985275269,pilot,0004,0.2.2,instructions,,,,
0.2.2,2017-01-20,13:30:32,4,0,124.8554699420929,pilot,0004,0.2.2,practice_start,,,,
0.2.2,2017-01-20,13:30:32,4,0,125.00919079780579,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,125.68175387382507,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,126.35431694984436,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,129.02590584754944,pilot,0004,0.2.2,response_timeout,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,129.1777937412262,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,129.85035800933838,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,130.13370490074158,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,130.52292585372925,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,131.54385495185852,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,131.9851999282837,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,132.21641993522644,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,132.88898301124573,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,133.91142582893372,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,134.58398985862732,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,135.2565529346466,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,137.92865300178528,pilot,0004,0.2.2,response_timeout,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,138.07901787757874,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,138.4737868309021,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,138.7515788078308,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,139.42414379119873,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,140.4466028213501,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,140.60750079154968,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,141.11916589736938,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,141.7917308807373,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,142.81418299674988,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,143.48675298690796,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,144.15932488441467,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,144.38372588157654,pilot,0004,0.2.2,stream_2,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,145.1817638874054,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,145.85432481765747,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,146.52688598632812,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,147.03876185417175,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,147.54934883117676,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,148.22191095352173,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,148.8944718837738,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,149.5592918395996,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,149.91703987121582,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,150.58960700035095,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,151.2621738910675,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,152.2743330001831,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,152.2754967212677,pilot,0004,0.2.2,high_latency,,,,2.2088309288024846
0.2.2,2017-01-20,13:30:32,4,0,152.4123969078064,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,153.08496189117432,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,153.75757694244385,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,154.46667790412903,pilot,0004,0.2.2,stream_1,,,practice,
0.2.2,2017-01-20,13:30:32,4,0,154.7800109386444,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,155.45257186889648,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,156.12513494491577,pilot,0004,0.2.2,stimulus,w2nw,normal,practice,
0.2.2,2017-01-20,13:30:32,4,0,156.96859788894653,pilot,0004,0.2.2,stream_1,,,practice,
