weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,7/2/17,11:48:17,6,0,45.92418719,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.95838289,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,45.99171629,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.02504969,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.05838309,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.07506046,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.10901043,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.14234383,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.17568544,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.20901884,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.22568554,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.26111356,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.29444696,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.32778036,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.34444707,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.37778047,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.41133334,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.44466674,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.44874727,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.47947327,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.49613997,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.52947337,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.56280677,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.59614017,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.62947358,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.64614028,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.67947368,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.71280708,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.74614048,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.77947388,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.79614058,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.82947399,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.86280739,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.89614079,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.91280749,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.94799348,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,46.98132975,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.01466315,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.04799655,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.06466326,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.09974463,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.12319854,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.12319854,pilot,abin,0.3.2,high_latency,,,,0.00195127,int
0.3.2,7/2/17,11:48:17,6,0,47.13307804,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.16744931,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.18411601,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.21744941,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.25078282,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.28411622,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.31915247,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.33581917,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.36915257,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.4024909,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.4358243,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.45250126,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.48583466,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.51916806,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.55250146,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.58783554,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.60450224,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.63783564,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.67116904,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.70450245,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.73783585,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.75451075,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.78784415,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.79573692,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.82293005,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.85626345,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.87381624,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.90715005,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.94231471,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.97564811,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,47.99231481,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.02812967,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.07367143,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.09033813,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.12471884,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.15805224,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.17613176,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.20946517,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.24279857,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.2761373,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.29448881,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.32782221,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.36115561,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.39448901,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.41115571,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.44448911,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.47782252,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.51115592,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.54448932,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.56115602,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.59448942,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.62782282,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.66115622,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.66825848,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.69449414,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.71116084,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.74639441,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.77972781,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.81306122,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,48.82972792,pilot,abin,0.3.2,stream_1,,normal,practice,,int
