weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.3,2017-03-28,13:53:30,1,0,0.01778325574741757,pilot,0204,0.3.4,break_start,,,,
0.4.3,2017-03-28,13:53:30,1,0,0.26616438749988447,pilot,0204,0.3.4,start,,,,
0.4.3,2017-03-28,13:53:30,1,0,0.5236626457863167,pilot,0204,0.3.4,high_latency,,,,0.007498258286432247
0.4.3,2017-03-28,13:53:30,2,0,1.5258957327023381,pilot,0204,0.3.4,break_start,,,,
0.4.3,2017-03-28,13:53:30,2,0,1.527419816233305,pilot,0204,0.3.4,instructions,,,,
0.4.3,2017-03-28,13:53:30,2,0,38.271646160772434,pilot,0204,0.3.4,instructions,,,,
0.4.3,2017-03-28,13:53:30,3,0,39.68894221622395,pilot,0204,0.3.4,practice_start,,,,
0.4.3,2017-03-28,13:53:30,3,0,39.692677144767,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,41.71017741509422,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,43.72982317346032,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,45.74732344378572,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,47.765995349047444,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,49.783495619369205,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,51.800995889694605,pilot,0204,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,13:53:30,3,0,54.49849234125759,pilot,0204,0.3.4,high_latency,,,,0.005555660871905843
0.4.3,2017-03-28,13:53:30,4,0,54.50323944741467,pilot,0204,0.3.4,break_start,,,,
0.4.3,2017-03-28,13:53:30,4,0,54.504497996858845,pilot,0204,0.3.4,instructions,,,,
0.4.3,2017-03-28,13:53:30,4,0,76.34724330450263,pilot,0204,0.3.4,instructions,,,,
0.4.3,2017-03-28,13:53:30,4,0,77.09307825179894,pilot,0204,0.3.4,instructions,,,,
0.4.3,2017-03-28,13:53:30,5,0,111.89630346439662,pilot,0204,0.3.4,practice_start,,,,
