psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.1+,2017-01-20,11:43:56,9,1,4.8466091016052815e-6,pilot,0002,0.2.2,trial_start,,,,
0.2.1+,2017-01-20,11:43:56,9,1,0.5356113156348385,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,1.2095933210305247,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,1.8829438417701567,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,2.5209451914082592,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,3.1937822566781335,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,3.866289752529269,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,4.740193813046886,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,5.413052545510368,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,6.085923537043897,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,6.961084294791306,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,7.633592360831756,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,8.306103562913393,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,8.587172964360036,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,9.181920608551621,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,9.41403298602151,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,9.854432951011887,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,10.059295126278386,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,10.528254163023377,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,10.746622697468666,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,11.386054937169405,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,11.673107049906093,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,12.059642941754902,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,12.259645963758203,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,12.732150152511366,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,12.852961577508523,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,13.606953971753398,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,13.845578481283667,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,14.279462037793849,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,14.506732937869032,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,14.9519738100648,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,15.097076154768757,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,15.827829913670485,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,16.022433242948807,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,16.50034225613075,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,16.620217430287937,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,17.174520121552945,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,17.193330951842654,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,18.048669078377372,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,18.23549131929545,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,18.721184556878796,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,18.827975882132733,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,19.393695188771147,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,19.476248051734416,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.1+,2017-01-20,11:43:56,9,1,20.25288380368724,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
