weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,2/7/17,11:58:36,1,0,0.009253079,pilot,abin,0.3.2,start,,,,,cont
0.3.2,2/7/17,11:58:36,2,0,0.384975848,pilot,abin,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,11:58:36,2,0,2.512599506,pilot,abin,0.3.2,instructions,,,,,cont
0.3.2,2/7/17,11:58:36,3,0,2.930731537,pilot,abin,0.3.2,practice_start,,,,,cont
0.3.2,2/7/17,11:58:36,3,0,2.933967407,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,3.606475433,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,4.278975663,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,4.951475894,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,5.623976125,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,6.296476356,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,6.968976586,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,7.641476817,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,8.315377563,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,8.987877793,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,9.660378024,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,10.33287825,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,11.00537849,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,11.67788077,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,12.35099716,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,13.02349739,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,13.69599762,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,14.36883301,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
0.3.2,2/7/17,11:58:36,3,0,15.04133324,pilot,abin,0.3.2,stimulus,w2nw,normal,example,,cont
