weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.3,2017-03-28,11:09:39,1,0,0.017228352664517388,pilot,0201,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:09:39,1,0,0.29803599243359713,pilot,0201,0.3.4,start,,,,
0.4.3,2017-03-28,11:09:39,1,0,0.5592750732961349,pilot,0201,0.3.4,high_latency,,,,0.011239080862537776
0.4.3,2017-03-28,11:09:39,2,0,1.5653680272872066,pilot,0201,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:09:39,2,0,1.5669893019143046,pilot,0201,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:09:39,2,0,48.203915148960164,pilot,0201,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:09:39,3,0,72.3284319831152,pilot,0201,0.3.4,practice_start,,,,
0.4.3,2017-03-28,11:09:39,3,0,72.33012545887067,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,74.3550656448553,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,74.3550656448553,pilot,0201,0.3.4,high_latency,,,,0.007440185984634695
0.4.3,2017-03-28,11:09:39,3,0,76.37310326609162,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,78.39060331399753,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,80.41245322324994,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,82.42995327115597,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,3,0,84.44909170296114,pilot,0201,0.3.4,stimulus,,,example,
0.4.3,2017-03-28,11:09:39,4,0,87.13924997057205,pilot,0201,0.3.4,break_start,,,,
0.4.3,2017-03-28,11:09:39,4,0,87.14814473896723,pilot,0201,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:09:39,4,0,127.6529127509246,pilot,0201,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:09:39,4,0,132.59678441495868,pilot,0201,0.3.4,instructions,,,,
0.4.3,2017-03-28,11:09:39,5,0,184.6362654291416,pilot,0201,0.3.4,practice_start,,,,
0.4.3,2017-03-28,11:09:39,5,0,184.63793734721418,pilot,0201,0.3.4,stimulus,,,practice,
0.4.3,2017-03-28,11:09:39,5,0,188.66209598164784,pilot,0201,0.3.4,response_timeout,,,practice,
