psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.2,2017-01-20,12:00:04,19,10,0.02315998077392578,pilot,0002,0.2.2,break,,,,
0.2.2,2017-01-20,12:00:04,20,11,31.611889123916626,pilot,0002,0.2.2,trial_start,,,,
0.2.2,2017-01-20,12:00:04,20,11,31.61966109275818,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,32.11641001701355,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,32.29358911514282,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,32.710957050323486,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,32.96615409851074,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,33.22763395309448,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,33.833138942718506,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,34.0954110622406,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,34.50570011138916,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,34.62900710105896,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,35.17826294898987,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,35.28141498565674,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,36.05055809020996,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,36.233500957489014,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,36.723124980926514,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,36.884894132614136,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,37.39568209648132,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,37.50291299819946,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,38.26802206039429,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,38.6051709651947,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,38.94058394432068,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,39.18851613998413,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,39.613147020339966,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,39.790091037750244,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,40.485605001449585,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,40.742067098617554,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,41.15816402435303,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,41.29342198371887,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,41.811071157455444,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,41.83072304725647,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,42.70316195487976,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,42.99535608291626,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,43.375728130340576,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,43.58024215698242,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,44.04829001426697,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,44.21496295928955,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,44.92113995552063,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,45.18817114830017,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,45.59370398521423,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,45.73818302154541,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,46.26629400253296,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,46.457184076309204,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,47.1392719745636,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,47.44253897666931,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,47.811835050582886,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,48.0301570892334,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,48.48439598083496,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,48.6801700592041,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,49.35684108734131,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,49.620774030685425,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,50.02940511703491,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,50.18832516670227,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,50.70197010040283,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,50.80500793457031,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,51.57440495491028,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,51.84689998626709,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,52.246963024139404,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,52.36363196372986,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,52.919543981552124,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,52.968281984329224,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,53.79198503494263,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,53.9379940032959,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,54.46455001831055,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,54.57134008407593,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,55.13711214065552,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,55.18357706069946,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,56.0095579624176,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,56.25026512145996,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,56.68211507797241,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,56.81694316864014,pilot,0002,0.2.2,stream_1,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,57.35468316078186,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,57.38896608352661,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,57.75564002990723,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,58.227132081985474,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,58.58935594558716,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,58.89969611167908,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,59.256036043167114,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,59.572261095047,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,59.75954794883728,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,60.44471597671509,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,60.727784156799316,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,61.117279052734375,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,61.285171031951904,pilot,0002,0.2.2,stream_2,,normal,context,
0.2.2,2017-01-20,12:00:04,20,11,61.78984308242798,pilot,0002,0.2.2,stimulus,nw2w,normal,context,
