psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.1+,2017-01-20,11:36:46,4,0,3.991328412666917e-6,pilot,0002,0.2.2,practice_start,,,,
0.2.1+,2017-01-20,11:36:46,4,0,0.2709730594069697,pilot,0002,0.2.2,high_latency,,,,0.12096906807855703
0.2.1+,2017-01-20,11:36:46,4,0,0.6160253984999144,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,1.28853631549282,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,1.961041815680801,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,4.446203351748409,pilot,0002,0.2.2,response_timeout,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,4.603692774020601,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,5.276202265536995,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,5.569856600239291,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,5.94870833591267,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,6.461721338797361,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,6.974835265194997,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,7.491819921677234,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,7.64734361632145,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,8.139464312844211,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,8.319856243877439,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,8.636125426826766,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,9.34597519050294,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,9.686392745818011,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,10.018834208050976,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,10.20522224981687,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,10.691345980318147,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,10.95951998043165,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,11.700426815194078,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,11.966986609390005,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,12.37294828069571,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,12.552577583526727,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,13.046160530531779,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,13.146162041521166,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,14.07157130203268,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,14.210897343975375,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,14.74408050844795,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,14.954124564130325,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,15.416590285050916,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,15.546293812280055,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,16.442728047913988,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,16.70728989878262,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,17.115238679820322,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,17.309939511469565,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,17.788098267570604,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,17.870796813891502,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,18.813879091918352,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,19.124996614496922,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,19.486390864185523,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,19.712124248806504,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,20.158902351366123,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,20.38603326996963,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,21.18503555271309,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,21.479209900076967,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,21.85754675482167,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,22.053748609803733,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,22.531119934486924,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,22.69778968967148,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,23.55616749537876,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,23.85967413110484,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,24.228715474688215,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,24.395385229872772,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,24.871639838791452,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,24.9012286724319,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,25.91110207044403,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,26.151248415233567,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,26.58361469800002,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,26.73977272825141,pilot,0002,0.2.2,stream_1,,,practice,
0.2.1+,2017-01-20,11:36:46,4,0,27.256123049126472,pilot,0002,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,11:36:46,4,0,27.360142684177845,pilot,0002,0.2.2,stream_1,,,practice,
