weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,2/7/17,12:02:52,1,0,0.011381162,pilot,david,0.3.2,start,,,,,int
0.3.2,2/7/17,12:02:52,2,0,0.511532238,pilot,david,0.3.2,instructions,,,,,int
0.3.2,2/7/17,12:02:52,2,0,2.19537068,pilot,david,0.3.2,instructions,,,,,int
0.3.2,2/7/17,12:02:52,3,0,2.667609166,pilot,david,0.3.2,practice_start,,,,,int
0.3.2,2/7/17,12:02:52,3,0,2.671892329,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,3.345692353,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,4.018192407,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,4.691390524,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,5.363890578,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,6.036390632,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,6.708890686,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,7.38139074,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,8.053890794,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,8.726390847,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,9.401816606,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,10.07431666,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,10.74681671,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,11.42092163,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,12.09342168,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,12.76592174,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,13.44037637,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,14.11287642,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,14.78537647,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,3,0,15.462777,pilot,david,0.3.2,stimulus,w2nw,normal,example,,int
0.3.2,2/7/17,12:02:52,4,0,16.13534275,pilot,david,0.3.2,instructions,,,,,int
0.3.2,2/7/17,12:02:52,4,0,19.17883207,pilot,david,0.3.2,instructions,,,,,int
0.3.2,2/7/17,12:02:52,5,0,22.05583305,pilot,david,0.3.2,instructions,,,,,int
0.3.2,2/7/17,12:02:52,6,0,25.97617963,pilot,david,0.3.2,practice_start,,,,,int
0.3.2,2/7/17,12:02:52,6,0,25.97824473,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,26.65074479,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.32324484,pilot,david,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.32473439,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.80782843,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.8411623,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.87449617,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.90898664,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.94232085,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,27.97565506,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,28.012457,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,28.04611116,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,28.07944537,pilot,david,0.3.2,stream_1,,normal,practice,,int
0.3.2,2/7/17,12:02:52,6,0,28.11624663,pilot,david,0.3.2,stream_1,,normal,practice,,int
