weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.4.3,2017-03-29,12:47:43,1,0,0.013329833916941425,pilot,0206,0.3.4,break_start,,,,
0.4.3,2017-03-29,12:47:43,1,0,0.24875752465777623,pilot,0206,0.3.4,start,,,,
0.4.3,2017-03-29,12:47:43,2,0,1.5017920251621035,pilot,0206,0.3.4,break_start,,,,
0.4.3,2017-03-29,12:47:43,2,0,1.5079157758445945,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,2,0,302.364423390155,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,3,0,309.137993465627,pilot,0206,0.3.4,practice_start,,,,
0.4.3,2017-03-29,12:47:43,3,0,309.1392585252079,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,311.1567585731136,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,313.2059662085039,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,313.2059662085039,pilot,0206,0.3.4,high_latency,,,,0.031707635390318956
0.4.3,2017-03-29,12:47:43,3,0,315.22346625640876,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,317.2409663043163,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,319.25846635222115,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,321.2759664001269,pilot,0206,0.3.4,stimulus,,,example,
0.4.3,2017-03-29,12:47:43,3,0,324.018076972563,pilot,0206,0.3.4,high_latency,,,,0.051720090939511465
0.4.3,2017-03-29,12:47:43,4,0,324.02003632640753,pilot,0206,0.3.4,break_start,,,,
0.4.3,2017-03-29,12:47:43,4,0,324.02084354186627,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,4,0,331.75046982061303,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,4,0,342.7042864201658,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,5,0,372.7407390931812,pilot,0206,0.3.4,practice_start,,,,
0.4.3,2017-03-29,12:47:43,5,0,372.742109888065,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,375.226648581026,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,375.34586290956213,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,375.5098285924678,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,377.66264929550925,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,377.7836614663611,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,377.9168804185074,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,380.0678091782347,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,380.21568632818617,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,380.3373123797219,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,383.02744190375597,pilot,0206,0.3.4,stream_2,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,383.14487344613644,pilot,0206,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,383.294068010041,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,385.49461229020653,pilot,0206,0.3.4,stream_2,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,385.6481539779743,pilot,0206,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,385.746971658833,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,388.0261569974191,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,388.21139634929204,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,388.2783842824647,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,390.4967937224028,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,390.6467985814361,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,390.75584829140007,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,390.75584829140007,pilot,0206,0.3.4,high_latency,,,,0.005972504715828109
0.4.3,2017-03-29,12:47:43,5,0,392.933735789039,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,393.1064935847071,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,393.188845644253,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,395.487729230028,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,5,0,395.6210648674105,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,6,0,395.73936453425813,pilot,0206,0.3.4,break_start,,,,
0.4.3,2017-03-29,12:47:43,6,0,395.7407551758979,pilot,0206,0.3.4,instructions,,,,
0.4.3,2017-03-29,12:47:43,7,0,400.1722048239935,pilot,0206,0.3.4,practice_start,,,,
0.4.3,2017-03-29,12:47:43,7,0,400.180114440499,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,402.4476312554925,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,402.5700173008963,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,402.6996532292733,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,404.79861154834816,pilot,0206,0.3.4,stream_1,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,404.96043788786756,pilot,0206,0.3.4,stream_1_up,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,405.0514338938792,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,407.018143014353,pilot,0206,0.3.4,stream_2,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,407.1711170164717,pilot,0206,0.3.4,stream_2_up,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,407.3209401750346,pilot,0206,0.3.4,stimulus,,,practice,
0.4.3,2017-03-29,12:47:43,7,0,409.0967245325064,pilot,0206,0.3.4,stream_2,,,practice,
